200;220;40;30
40;288;55;104
40;72;36;254
40;300;30;40
72;216;36;254
60;110;36;254
0;40;104;55
120;280;40;30
80;36;55;104
165;400;30;40
36;108;104;55
40;312;104;55
120;252;55;104
108;280;55;104
40;80;104;55
180;144;40;30
180;220;55;104
160;0;55;104
120;416;55;104
104;240;55;104
80;90;104;55
36;40;104;55
108;60;30;40
144;180;36;254
104;200;36;254
180;0;30;40
200;72;36;254
160;30;55;104
110;390;55;104
40;216;40;30
165;216;55;104
104;270;55;104
80;120;104;55
120;440;104;55
108;90;30;40
80;275;40;30
180;280;55;104
180;30;30;40
160;60;55;104
160;468;30;40
160;72;30;40
110;36;30;40
104;300;55;104
104;312;30;40
108;120;30;40
120;208;104;55
108;254;30;40
180;60;30;40
150;432;40;30
36;468;40;30
110;200;30;40
90;180;55;104
90;40;104;55
120;210;40;30
104;275;104;55
150;288;30;40
90;210;55;104
108;55;40;30
0;390;55;104
160;220;40;30
120;240;40;30
30;400;104;55
180;208;40;30
90;252;30;40
0;432;30;40
72;160;30;40
80;72;36;254
30;110;40;30
60;450;30;40
108;36;40;30
165;0;30;40
110;165;40;30
55;468;40;30
160;280;40;30
0;200;30;40
55;160;30;40
180;55;40;30
120;160;36;254
60;72;55;104
60;480;30;40
165;280;55;104
165;30;30;40
72;385;104;55
55;312;55;104
210;275;30;40
55;324;30;40
144;210;55;104
165;60;30;40
90;400;40;30
180;36;40;30
40;240;30;40
55;80;55;104
160;200;36;254
144;240;55;104
144;252;30;40
72;104;104;55
104;144;30;40
40;252;104;55
72;396;104;55
55;104;104;55
144;416;30;40
180;90;36;254
55;55;104;55
60;396;40;30
30;254;36;254
165;208;40;30
104;320;104;55
200;210;30;40
72;270;40;30
36;220;36;254
200;240;30;40
165;55;40;30
55;270;40;30
72;300;40;30
104;60;40;30
30;0;104;55
110;360;55;104
150;165;36;254
55;300;40;30
165;36;40;30
104;90;40;30
108;160;40;30
55;330;40;30
0;312;55;104
0;324;30;40
72;220;36;254
104;120;40;30
104;254;40;30
0;275;30;40
200;254;40;30
60;324;104;55
210;320;30;40
80;180;30;40
36;252;55;104
40;60;55;104
0;80;55;104
40;72;30;40
55;220;36;254
60;144;36;254
144;72;55;104
165;90;36;254
108;80;36;254
80;210;30;40
36;160;30;40
40;90;55;104
0;104;104;55
165;120;36;254
104;40;36;254
108;110;36;254
80;240;30;40
0;55;104;55
36;324;30;40
120;36;30;40
180;440;40;30
180;120;55;104
36;385;104;55
30;165;36;254
0;240;40;30
80;252;104;55
40;144;104;55
180;150;55;104
200;72;30;40
110;40;30;40
0;270;40;30
80;416;104;55
110;320;55;104
30;216;55;104
40;280;40;30
108;416;30;40
120;108;104;55
144;30;40;30
90;312;55;104
90;324;30;40
36;240;40;30
40;36;36;254
90;275;30;40
144;60;40;30
90;80;55;104
60;208;36;254
80;320;40;30
30;288;30;40
80;0;55;104
40;200;36;254
0;220;36;254
90;110;55;104
72;280;55;104
80;30;55;104
150;90;30;40
90;55;104;55
180;108;40;30
200;280;40;30
80;60;55;104
150;120;30;40
165;150;55;104
36;400;104;55
144;144;36;254
120;468;40;30
120;72;40;30
200;36;36;254
120;160;30;40
90;270;40;30
180;40;40;30
72;254;30;40
110;180;40;30
200;200;36;254
150;104;40;30
